[0.26020372, '0', '1']
[0.15368757, '0', '3']
[0.42814314, '0', '4']
[0.38693908, '1', '2']
[0.1679394, '1', '4']
[0.22550118, '1', '5']
[0.6124402, '2', '5']
[0.27445555, '3', '4']
[0.88657546, '3', '6']
[0.6702565, '3', '7']
[0.057561785, '4', '5']
[0.94471204, '4', '7']
[0.30601448, '4', '8']
[0.3635763, '5', '8']
[0.216319, '6', '7']
[0.63869756, '7', '8']
