[0.0129069835, '0', '1']
[0.08142282, '0', '3']
[0.45307362, '0', '4']
[0.03543538, '1', '2']
[0.44016662, '1', '4']
[0.03522417, '1', '5']
[0.07065955, '2', '5']
[0.3716508, '3', '4']
[0.06380537, '3', '6']
[0.08805014, '3', '7']
[0.4753908, '4', '5']
[0.45970094, '4', '7']
[0.46559912, '4', '8']
[0.009791657, '5', '8']
[0.02424477, '6', '7']
[0.0058982074, '7', '8']
