[0.5774219, '0', '1']
[0.44497418, '0', '3']
[0.27378708, '0', '4']
[0.07322317, '1', '2']
[0.85120904, '1', '4']
[0.8282001, '1', '5']
[0.90142334, '2', '5']
[0.1711871, '3', '4']
[0.08209327, '3', '6']
[0.016338319, '3', '7']
[0.023008883, '4', '5']
[0.15484878, '4', '7']
[0.10705489, '4', '8']
[0.13006377, '5', '8']
[0.06575495, '6', '7']
[0.047793895, '7', '8']
