[0.03654091, '0', '1']
[0.36132485, '0', '3']
[0.20188561, '0', '4']
[0.46110594, '1', '2']
[0.23842652, '1', '4']
[0.7485391, '1', '5']
[0.28743315, '2', '5']
[0.5632105, '3', '4']
[0.2052693, '3', '6']
[1.1540551, '3', '7']
[0.5101126, '4', '5']
[0.59084463, '4', '7']
[0.3663427, '4', '8']
[0.14376992, '5', '8']
[0.9487858, '6', '7']
[0.22450197, '7', '8']
