[0.33646184, '0', '1']
[0.24013741, '0', '3']
[0.001615651, '0', '4']
[0.056099415, '1', '2']
[0.33807752, '1', '4']
[0.87163085, '1', '5']
[0.92773026, '2', '5']
[0.24175307, '3', '4']
[0.68113613, '3', '6']
[0.80489147, '3', '7']
[0.53355336, '4', '5']
[0.5631384, '4', '7']
[0.5181593, '4', '8']
[0.015394062, '5', '8']
[0.123755336, '6', '7']
[0.044979155, '7', '8']
