[0.39692348, '0', '1']
[0.36350733, '0', '3']
[0.49401775, '0', '4']
[0.08901258, '1', '2']
[0.09709425, '1', '4']
[0.010560721, '1', '5']
[0.0995733, '2', '5']
[0.13051042, '3', '4']
[0.45663074, '3', '6']
[0.5180875, '3', '7']
[0.107654974, '4', '5']
[0.6485979, '4', '7']
[0.6831496, '4', '8']
[0.5754946, '5', '8']
[0.9747182, '6', '7']
[0.03455168, '7', '8']
