[0.19703846, '0', '1']
[0.20027222, '0', '3']
[0.010377392, '0', '4']
[0.28909516, '1', '2']
[0.18666106, '1', '4']
[0.6704291, '1', '5']
[0.38133392, '2', '5']
[0.18989483, '3', '4']
[0.016291589, '3', '6']
[0.40404406, '3', '7']
[0.48376802, '4', '5']
[0.21414924, '4', '7']
[0.6397978, '4', '8']
[0.15602976, '5', '8']
[0.42033565, '6', '7']
[0.42564854, '7', '8']
