2024-04-23 21:46:54,096:INFO:Logging setup complete - logging to: ResNet18/log\2024-04-23-21-46-54.log
2024-04-23 21:46:54,096:INFO:Starting the program
2024-04-23 22:00:04,685:INFO:Epoch 68, Loss: 0.0003252970054745674
2024-04-23 22:00:16,110:INFO:Epoch 69, Loss: 0.0010913456790149212
2024-04-23 22:00:27,534:INFO:Epoch 70, Loss: 0.35657259821891785
2024-04-23 22:00:38,969:INFO:Epoch 71, Loss: 0.22633226215839386
2024-04-23 22:00:50,375:INFO:Epoch 72, Loss: 0.2932851016521454
2024-04-23 22:01:02,448:INFO:Epoch 73, Loss: 0.0002750898711383343
2024-04-23 22:01:13,970:INFO:Epoch 74, Loss: 5.366173354559578e-05
2024-04-23 22:01:25,516:INFO:Epoch 75, Loss: 6.684832624159753e-05
2024-04-23 22:01:36,936:INFO:Epoch 76, Loss: 0.0006870201323181391
2024-04-23 22:01:48,517:INFO:Epoch 77, Loss: 0.0033831088803708553
2024-04-23 22:02:00,297:INFO:Epoch 78, Loss: 0.00607462739571929
2024-04-23 22:02:11,707:INFO:Epoch 79, Loss: 3.7266509025357664e-05
2024-04-23 22:02:23,092:INFO:Epoch 80, Loss: 0.008604209870100021
2024-04-23 22:02:34,477:INFO:Epoch 81, Loss: 0.001085353665985167
2024-04-23 22:02:45,891:INFO:Epoch 82, Loss: 4.634010838344693e-05
2024-04-23 22:02:57,298:INFO:Epoch 83, Loss: 0.01912212371826172
2024-04-23 22:03:08,691:INFO:Epoch 84, Loss: 6.437120191549184e-06
2024-04-23 22:03:20,089:INFO:Epoch 85, Loss: 1.8423295841785148e-05
2024-04-23 22:03:31,476:INFO:Epoch 86, Loss: 0.0004972912720404565
2024-04-23 22:03:42,860:INFO:Epoch 87, Loss: 1.3835329809808172e-05
2024-04-23 22:03:54,237:INFO:Epoch 88, Loss: 0.0002114853705279529
2024-04-23 22:04:05,672:INFO:Epoch 89, Loss: 2.807887904054951e-05
2024-04-23 22:04:17,411:INFO:Epoch 90, Loss: 0.03466325253248215
2024-04-23 22:04:28,784:INFO:Epoch 91, Loss: 0.00034878752194345
2024-04-23 22:04:40,166:INFO:Epoch 92, Loss: 0.00019554559548851103
2024-04-23 22:04:51,534:INFO:Epoch 93, Loss: 7.24484198144637e-05
2024-04-23 22:05:02,902:INFO:Epoch 94, Loss: 0.00017018808284774423
2024-04-23 22:05:14,293:INFO:Epoch 95, Loss: 8.636348502477631e-05
2024-04-23 22:05:25,662:INFO:Epoch 96, Loss: 0.00045108774793334305
2024-04-23 22:05:37,399:INFO:Epoch 97, Loss: 0.5254660248756409
2024-04-23 22:05:48,814:INFO:Epoch 98, Loss: 0.40564313530921936
2024-04-23 22:06:00,514:INFO:Epoch 99, Loss: 0.0016601012321189046
2024-04-23 22:06:12,083:INFO:Epoch 100, Loss: 2.762370786513202e-05
